timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
228860914,40.26680954317167,116.23588872821128,82.33717,-0.0,-0.04551021,-0.006026904,-0.012905407,0.63586295,0.8544331,1.390593,0.0,2,0,0,0
229065008,40.266809512776156,116.23588869568269,82.32582,-0.0,-0.045005143,-0.004997509,-0.009382089,0.6359253,0.8547681,1.3904742,0.0,2,0,0,0
229265654,40.266809481117185,116.23588866166763,82.32221,-0.0,-0.050250135,-0.007189713,-0.014599725,0.63433486,0.85483813,1.3905147,0.0,2,0,0,0
229469740,40.26680945182155,116.23588862177407,82.33014,-0.0,-0.05594519,0.015769422,0.010883698,0.6337961,0.8548702,1.3905488,0.0,2,0,0,0
229673707,40.26680941218977,116.23588856212619,82.34862,-0.0,-0.05916426,0.0033102704,-0.014348354,0.6334623,0.855204,1.3904133,0.0,2,0,0,0
229874496,40.26680937051571,116.23588847469023,82.38075,-0.0,-0.04357701,-0.0033879932,-0.008994764,0.63366216,0.8552285,1.3903847,0.0,2,0,0,0
230078458,40.26680933664072,116.23588838312358,82.40971,-0.0,-0.04078751,-0.0105558615,-0.033633735,0.63297904,0.8554277,1.3903669,0.0,2,0,0,0
230282532,40.26680930697282,116.23588832366677,82.419914,-0.0,-0.04209567,-0.016697649,-0.03829156,0.6339782,0.85543424,1.3902429,0.0,2,0,0,0
230482508,40.26680928392858,116.23588829182668,82.41595,-0.0,-0.046006903,-0.008738835,-0.02722764,0.63449645,0.85552037,1.390102,0.0,2,0,0,0
230687307,40.26680926355273,116.23588826012426,82.41485,-0.0,-0.044666536,-0.003539726,-0.027548483,0.6350988,0.8560173,1.3897992,0.0,2,0,0,0
230891438,40.26680924748622,116.23588824573986,82.41908,-0.0,-0.034283165,0.01597169,-0.035898563,0.63557595,0.85622466,1.3896636,0.0,2,0,0,0
231091324,40.26680922702914,116.23588825928965,82.42401,-0.0,-0.040757254,-0.014152507,-0.028275754,0.63495165,0.8564498,1.3892905,0.0,2,0,0,0
231295319,40.266809205656934,116.23588826374068,82.43017,-0.0,-0.038709287,-0.002024725,-0.034545816,0.6355783,0.8570676,1.389247,0.0,2,0,0,0
231500849,40.26680919378583,116.2358882825733,82.44255,-0.0,-0.0395904,-0.003970844,-0.024841825,0.6354864,0.8577416,1.3889936,0.0,2,0,0,0
231700868,40.26680918160225,116.23588828450937,82.45989,-0.0,-0.029283185,0.011101762,-0.020691516,0.63544405,0.8579483,1.3888842,0.0,2,0,0,0
231904921,40.266809165061325,116.2358882893819,82.470406,-0.0,-0.0393193,0.012177399,-0.031513892,0.63535154,0.8583329,1.3888242,0.0,2,0,0,0
232109726,40.26680915326517,116.23588827455352,82.47521,-0.0,-0.038613897,0.0046994993,-0.041110907,0.635177,0.8591303,1.3888831,0.0,2,0,0,0
